date,nino34
2000-01-01,0.0
2000-02-01,0.145
2000-03-01,0.288
2000-04-01,0.424
2000-05-01,0.551
2000-06-01,0.666
2000-07-01,0.767
2000-08-01,0.851
2000-09-01,0.918
2000-10-01,0.965
2000-11-01,0.991
2000-12-01,0.996
2001-01-01,0.98
2001-02-01,0.943
2001-03-01,0.886
2001-04-01,0.81
2001-05-01,0.717
2001-06-01,0.609
2001-07-01,0.489
2001-08-01,0.358
2001-09-01,0.219
2001-10-01,0.077
2001-11-01,-0.067
2001-12-01,-0.21
2002-01-01,-0.347
2002-02-01,-0.477
2002-03-01,-0.596
2002-04-01,-0.702
2002-05-01,-0.793
2002-06-01,-0.866
2002-07-01,-0.921
2002-08-01,-0.956
2002-09-01,-0.971
2002-10-01,-0.965
2002-11-01,-0.938
2002-12-01,-0.891
2003-01-01,-0.825
2003-02-01,-0.742
2003-03-01,-0.644
2003-04-01,-0.532
2003-05-01,-0.409
2003-06-01,-0.278
2003-07-01,-0.141
2003-08-01,-0.003
2003-09-01,0.136
2003-10-01,0.271
2003-11-01,0.399
2003-12-01,0.518
2004-01-01,0.625
2004-02-01,0.719
2004-03-01,0.796
2004-04-01,0.856
2004-05-01,0.898
2004-06-01,0.92
2004-07-01,0.921
2004-08-01,0.903
2004-09-01,0.866
2004-10-01,0.81
2004-11-01,0.737
2004-12-01,0.649
2005-01-01,0.547
2005-02-01,0.434
2005-03-01,0.312
2005-04-01,0.185
2005-05-01,0.054
2005-06-01,-0.077
2005-07-01,-0.206
2005-08-01,-0.329
2005-09-01,-0.444
2005-10-01,-0.549
2005-11-01,-0.641
2005-12-01,-0.719
2006-01-01,-0.78
2006-02-01,-0.824
2006-03-01,-0.85
2006-04-01,-0.856
2006-05-01,-0.845
2006-06-01,-0.815
2006-07-01,-0.767
2006-08-01,-0.703
2006-09-01,-0.624
2006-10-01,-0.532
2006-11-01,-0.429
2006-12-01,-0.318
2007-01-01,-0.2
2007-02-01,-0.079
2007-03-01,0.043
2007-04-01,0.162
2007-05-01,0.277
2007-06-01,0.385
2007-07-01,0.484
2007-08-01,0.571
2007-09-01,0.645
2007-10-01,0.703
2007-11-01,0.746
2007-12-01,0.772
2008-01-01,0.78
2008-02-01,0.771
2008-03-01,0.745
2008-04-01,0.702
2008-05-01,0.644
2008-06-01,0.572
2008-07-01,0.489
2008-08-01,0.394
2008-09-01,0.292
2008-10-01,0.185
2008-11-01,0.074
2008-12-01,-0.038
2009-01-01,-0.147
2009-02-01,-0.252
2009-03-01,-0.351
2009-04-01,-0.441
2009-05-01,-0.52
2009-06-01,-0.586
2009-07-01,-0.639
2009-08-01,-0.676
2009-09-01,-0.698
2009-10-01,-0.703
2009-11-01,-0.693
2009-12-01,-0.667
