date,sst_c
2000-01-01,20.0
2000-02-01,20.601
2000-03-01,21.041
2000-04-01,21.202
2000-05-01,21.043
2000-06-01,20.604
2000-07-01,20.005
2000-08-01,19.406
2000-09-01,18.967
2000-10-01,18.808
2000-11-01,18.969
2000-12-01,19.409
2001-01-01,20.01
2001-02-01,20.611
2001-03-01,21.051
2001-04-01,21.212
2001-05-01,21.053
2001-06-01,20.614
2001-07-01,20.015
2001-08-01,19.416
2001-09-01,18.977
2001-10-01,18.818
2001-11-01,18.979
2001-12-01,19.419
2002-01-01,20.02
2002-02-01,20.621
2002-03-01,21.061
2002-04-01,21.222
2002-05-01,21.063
2002-06-01,20.624
2002-07-01,20.025
2002-08-01,19.426
2002-09-01,18.987
2002-10-01,18.828
2002-11-01,18.989
2002-12-01,19.429
2003-01-01,20.03
2003-02-01,20.631
2003-03-01,21.071
2003-04-01,21.232
2003-05-01,21.073
2003-06-01,20.634
2003-07-01,20.035
2003-08-01,19.436
2003-09-01,18.997
2003-10-01,18.838
2003-11-01,18.999
2003-12-01,19.439
2004-01-01,20.04
2004-02-01,20.641
2004-03-01,21.081
2004-04-01,21.242
2004-05-01,21.083
2004-06-01,20.644
2004-07-01,20.045
2004-08-01,19.446
2004-09-01,19.007
2004-10-01,18.848
2004-11-01,19.009
2004-12-01,19.449
2005-01-01,20.05
2005-02-01,20.651
2005-03-01,21.091
2005-04-01,21.252
2005-05-01,21.093
2005-06-01,20.654
2005-07-01,20.055
2005-08-01,19.456
2005-09-01,19.017
2005-10-01,18.858
2005-11-01,19.019
2005-12-01,19.459
2006-01-01,20.06
2006-02-01,20.661
2006-03-01,21.101
2006-04-01,21.262
2006-05-01,21.103
2006-06-01,20.664
2006-07-01,20.065
2006-08-01,19.466
2006-09-01,19.027
2006-10-01,18.868
2006-11-01,19.029
2006-12-01,19.469
2007-01-01,20.07
2007-02-01,20.671
2007-03-01,21.111
2007-04-01,21.272
2007-05-01,21.113
2007-06-01,20.674
2007-07-01,20.075
2007-08-01,19.476
2007-09-01,19.037
2007-10-01,18.878
2007-11-01,19.039
2007-12-01,19.479
2008-01-01,20.08
2008-02-01,20.681
2008-03-01,21.121
2008-04-01,21.282
2008-05-01,21.123
2008-06-01,20.684
2008-07-01,20.085
2008-08-01,19.486
2008-09-01,19.047
2008-10-01,18.888
2008-11-01,19.049
2008-12-01,19.489
2009-01-01,20.09
2009-02-01,20.691
2009-03-01,21.131
2009-04-01,21.292
2009-05-01,21.133
2009-06-01,20.694
2009-07-01,20.095
2009-08-01,19.496
2009-09-01,19.057
2009-10-01,18.898
2009-11-01,19.059
2009-12-01,19.499
